,0
historique_frequence,0.1500760142389313
nb_inondations_2005_2014,0.1406898905420029
altitude_m,0.0880321937790927
profondeur_nappe_m,0.07440771934189146
pluie_max_72h_mm,0.06614711512159545
pluie_max_24h_mm,0.06088225590920628
indice_pluie_impermeabilisation,0.05823498845192662
cumul_pluie_hivernage_mm,0.03640297592294498
zone_basse,0.03444973887052733
log_distance_plan_eau,0.033848848208723185
distance_plan_eau_m,0.0331596276603604
nb_jours_pluie,0.03224737166617461
assainissement_score,0.029331844865355044
taux_impermeabilisation_pct,0.028171575464608748
pente_pct,0.027453173422895077
densite_pop_hab_km2,0.02376052159360426
assain_Complet,0.022465988477168203
assain_Aucun,0.01769450743255978
hauteur_crue_fleuve_m,0.007385896855282153
sol_Sableux,0.0059719667247500295
sol_Hydromorphe,0.004076390284929433
sol_Argileux,0.0033034640472146275
occ_Agricole,0.0031781327713015085
assain_Partiel,0.003172998358994574
occ_Urbain lâche,0.0027689177077832223
sol_Latéritique,0.0026082955774641967
sol_Argilo-sableux,0.0024667787711915774
occ_Urbain dense,0.0023665121044303536
occ_Zone humide (Niayes/bas-fond),0.0019204960702187514
occ_Végétation naturelle,0.0015984259040937553
is_riverain,0.0014918067394871387
assain_Inconnu,0.00023356711329034456
